name
Grigori Denisenko
Fraser Minten
Travis Hamonic
Casey Mittelstadt
Connor Bedard
Brad Lambert
Beck Malenstyn
Michael Eyssimont
Conor Timmins
Adam Boqvist
Jakob Chychrun
Oliver Ekman-Larsson
Dylan McIlrath
Colton Dach
Matt Rempe
Jack Quinn
Elias Pettersson
Nick Perbix
Pavel Zacha
Esa Lindell
Nikita Chibrikov
Dmitry Orlov
Jordan Kyrou
Oliver Wahlstrom
Shakir Mukhamadullin
Brock Nelson
Gage Goncalves
Colin Blackwell
Jack Finley
Jake McCabe
Steven Lorentz
Daniil Miromanov
Danton Heinen
Brandt Clarke
Kailer Yamamoto
John Tavares
Guillaume Brisebois
Patrick Giles
Daemon Hunt
Noah Gregor
Marc Del Gaizo
Rasmus Ristolainen
Seth Jones
Tyler Johnson
Reilly Smith
Sam Steel
Mitchell Stephens
Walker Duehr
Valtteri Puustinen
Bobby Brink
Victor Hedman
Kaedan Korczak
Spencer Stastney
Luke Kunin
Mackie Samoskevich
Jacob Moverare
Tanner Laczynski
Brayden Point
Connor McMichael
Travis Konecny
Justin Barron
Danil Gushchin
Andrew Copp
Dmitri Voronkov
Arber Xhekaj
Kaiden Guhle
Teddy Blueger
Marcus Pettersson
J.J. Moser
Samuel Girard
Anze Kopitar
Michael Pezzetta
Kyle Connor
Ethan Cardwell
Tyson Barrie
Steven Stamkos
Riley Stillman
Charlie Coyle
Philip Tomasino
Alec Martinez
Nils Lundkvist
Dmitry Kulikov
Nazem Kadri
Mikael Granlund
Isaiah George
Jacob Trouba
Brayden Pachal
Adam Fantilli
Nils Hoglander
Jeffrey Viel
Macklin Celebrini
Nick DeSimone
Alex Nylander
Radek Faksa
Philipp Kurashev
Ivan Provorov
Damon Severson
Leon Draisaitl
John Carlson
Anthony Mantha
Michael Bunting
Fabian Zetterlund
Evan Rodrigues
Nicolas Roy
Zack Bolduc
Nico Hischier
Jason Polin
Zack Ostapchuk
Ben Jones
Joel Farabee
Scott Sabourin
Kent Johnson
Trevor van Riemsdyk
Radko Gudas
Noel Acciari
Zac Jones
Calvin de Haan
Alex Tuch
Ryan McDonagh
Brock Faber
Artem Zub
Dougie Hamilton
Fabian Lysell
Josh Doan
Marcus Johansson
MacKenzie Weegar
Calum Ritchie
Yegor Sharangovich
John Klingberg
Trevor Zegras
Zach Benson
Noah Dobson
Tyler Myers
Paul Cotter
Dante Fabbro
Miles Wood
Cam Atkinson
Connor Murphy
Zach Werenski
Seth Jarvis
Oskar Olausson
Alex Killorn
Ivan Miroshnichenko
Mason McTavish
T.J. Tynan
Pavel Dorofeyev
Nathan Walker
Sam Bennett
Drew Doughty
Michael McCarron
Ryan Winterton
Givani Smith
Anders Lee
Keaton Middleton
Matt Benning
Mark Scheifele
Bokondji Imama
Olli Maatta
Georgii Merkulov
Alexander Kerfoot
Mark Friedman
Josh Manson
Joel Edmundson
Dylan Holloway
Ivan Ivan
Tobias Bjornfot
Alexander Petrovic
Brett Howden
Patrick Brown
Marc-Edouard Vlasic
Evgenii Dadonov
Matt Duchene
Jared Spurgeon
Stefan Noesen
Jamie Oleksiak
Timo Meier
Matty Beniers
Alex DeBrincat
John Marino
Emil Lilleberg
David Pastrnak
Jordan Harris
Jiri Kulich
David Jiricek
Tyson Kozak
Kasperi Kapanen
Cam York
John Beecher
Frank Vatrano
Mikael Backlund
Louis Crevier
Kris Letang
Travis Dermott
Marat Khusnutdinov
Nikita Prishchepov
Akil Thomas
Michael Rasmussen
Vladislav Kolyachonok
Brandon Saad
Simon Edvinsson
Tanner Jeannot
Adam Ginning
Scott Mayfield
Ozzy Wiesblatt
Tye Kartye
Logan O'Connor
Kurtis MacDermid
Matt Grzelcyk
Ryan Graves
Joel Kiviranta
Tomas Hertl
Tyler Motte
Bobby McMann
Cody Ceci
Mason Lohrei
Ty Dellandrea
Rasmus Asplund
Liam Foudy
Evan Bouchard
Mikey Anderson
Roman Josi
Clark Bishop
Jean-Gabriel Pageau
Ryan McLeod
Tony DeAngelo
Nino Niederreiter
Matias Maccelli
Colton Parayko
Kiefer Sherwood
Andreas Englund
Daniil Misyul
Connor Dewar
Erik Gustafsson
Tage Thompson
Vince Dunn
Elias Lindholm
Patrik Laine
Nathan Lgar
Alex Newhook
Morgan Rielly
Jakub Lauko
Cale Fleury
Drake Caggiula
Timothy Liljegren
Jacob Bryson
Conor Geekie
Brett Berard
Josh Anderson
Warren Foegele
Jamie Benn
Adrian Kempe
Lian Bichsel
Vinni Lettieri
Rasmus Andersson
Nate Schmidt
Mason Morelli
Elias Pettersson
Shea Theodore
Alexandre Carrier
Jackson LaCombe
Chad Ruhwedel
Pavel Mintyukov
Tomas Nosek
Connor Brown
Pierre Engvall
Isac Lundestrom
Marc McLaughlin
Connor Clifton
Alex Laferriere
Nick Foligno
Brendan Gaunce
JJ Peterka
Landon Slaggert
Justin Hryckowian
Nick Jensen
Sean Kuraly
Caleb Jones
Chris Kreider
Brock Boeser
Brandon Carlo
Joshua Roy
Brayden Schenn
Jesper Bratt
Teuvo Teravainen
Logan Stankoven
Connor McDavid
Jonathan Huberdeau
Rodrigo Abols
Steven Santini
Denton Mateychuk
Owen Power
Mattias Ekholm
Jack Johnson
Jon Merrill
Colton Sissons
William Lagesson
Ben Chiarot
Clayton Keller
Michael Kesselring
Helge Grans
Joshua Brown
Johnathan Kovacevic
Michael Callahan
Parker Kelly
Colin White
Jack Eichel
Justin Brazeau
Liam Ohgren
Matt Coronato
Shane Pinto
Oliver Kapanen
Nick Cousins
Sidney Crosby
Ryan Suzuki
Cole Smith
Roope Hintz
Matt Roy
Sam Lafferty
Tyson Jost
Matt Martin
Vladislav Namestnikov
Jesperi Kotkaniemi
Craig Smith
Jack Thompson
Jordan Staal
Oskar Sundqvist
Lucas Raymond
Victor Mancini
Ryan Lindgren
Charlie McAvoy
Jordan Spence
Nick Leddy
Josh Morrissey
Matt Boldy
Joe Veleno
Ryan Pulock
Cale Makar
Justin Kirkland
Tye Felhaber
Jonas Brodin
Tyler Kleven
Tanner Pearson
Martin Fehervary
Ryan Shea
Andrew Mangiapane
Uvis Balinskis
Kyle MacLean
Kevin Rooney
Dawson Mercer
Joakim Kemell
Gustav Forsling
Juuso Valimaki
Travis Boyd
Ryan Poehling
Mats Zuccarello
Ross Johnston
Nikolai Kovalenko
Jeff Petry
Eric Robinson
Cole Perfetti
Jonathan Drouin
David Perron
Ryan Suter
Bryan Rust
Brandon Tanev
Jacob Bernard-Docker
Mitch Marner
Devin Shore
Jonny Brodzinski
Lawson Crouse
Travis Sanheim
Matt Stienburg
Anthony Duclair
Andrei Svechnikov
Oliver Bjorkstrand
Vinnie Hinostroza
William Eklund
Brent Burns
Nick Schmaltz
Jack Roslovic
Juha Jaaska
Matthew Poitras
Wyatt Johnston
Emil Bemstrom
Kaapo Kakko
Ryan Reaves
Nick Bjugstad
Noah Cates
Nicolas Aube-Kubel
Samuel Honzek
Andrew Poturalski
Tom Wilson
Brendan Brisson
Brett Pesce
TJ Brodie
Mark Jankowski
Urho Vaakanainen
Simon Nemec
Oskar Bck
Christian Fischer
Nolan Foote
Cole Sillinger
Alexander Romanov
Julien Gauthier
Michael Carcone
Jake Middleton
Luke Schenn
Mario Ferraro
Dylan Guenther
Luke Glendening
Zachary Aston-Reese
Arshdeep Bains
Robert Thomas
Joshua Mahura
P.O Joseph
Lucas Condotta
Alex Barr-Boulet
Jacob Quillan
Cole Koepke
Jesper Boqvist
Olle Lycksell
Max Sasson
Collin Graf
Zach Whitecloud
Brendan Smith
Dylan Cozens
Sean Couturier
Matthew Tkachuk
Scott Laughton
Kevin Stenlund
Jake Walman
Vincent Trocheck
Oliver Kylington
Matt Nieto
Wyatt Kaiser
Leo Carlsson
Braden Schneider
Conor Garland
Yakov Trenin
David Kampf
Sam Reinhart
Rory Kerins
Sean Walker
Kyle Capobianco
Juuso Parssinen
Erik Gudbranson
Bowen Byram
Thomas Chabot
Daniel Sprong
Kirill Kaprizov
Andreas Athanasiou
Mikhail Sergachev
Tyson Foerster
Casey Cizikas
Filip Hronek
Anthony Richard
Mika Zibanejad
Tristan Luneau
Klim Kostin
Mitchell Chaffee
Cody Glass
Nicolas Hague
J.T. Compher
Ryan Lomberg
Viktor Arvidsson
Phillip Di Giuseppe
Chris Wagner
Riley Tufte
Callahan Burke
Isak Rosen
Andre Lee
Joel Armia
Mike Matheson
Jonas Siegenthaler
William Karlsson
Tyler Toffoli
Jonatan Berggren
Grant Hutton
Michael Sgarbossa
Neal Pionk
Vladislav Gavrikov
Taylor Hall
Jaden Schwartz
Max Pacioretty
Brian Halonen
Ridly Greig
Trevor Lewis
Filip Chytil
Seamus Casey
Darnell Nurse
Gabriel Vilardi
Sebastian Aho
Tyler Bertuzzi
Derek Ryan
Troy Stecher
Maveric Lamoureux
Jordan Greenway
Adam Wilsby
Kevin Korchinski
