Player,Season,League,GP,G,A,PTS,PIM,+/-
Eetu Luostarinen,,AHL,49.0,8.0,17.0,25.0,24.0,-6.0
Eetu Luostarinen,,SM-liiga,158.0,29.0,49.0,78.0,165.0,1.0
Eetu Luostarinen,2019-20,NHL,8.0,0.0,1.0,1.0,0.0,-2.0
Eetu Luostarinen,2020-21,NHL,44.0,3.0,5.0,8.0,12.0,-11.0
Eetu Luostarinen,2021-22,NHL,78.0,9.0,17.0,26.0,12.0,1.0
Egor Zamula,,AHL,127.0,5.0,49.0,54.0,38.0,-1.0
Egor Zamula,,WHL,158.0,19.0,83.0,102.0,79.0,25.0
Egor Zamula,2020-21,NHL,2.0,0.0,0.0,0.0,0.0,1.0
Egor Zamula,2021-22,NHL,10.0,0.0,0.0,0.0,4.0,-6.0
Egor Zamula,2022-23,NHL,14.0,0.0,4.0,4.0,2.0,0.0
Elias Lindholm,,AHL,6.0,1.0,2.0,3.0,4.0,-4.0
Elias Lindholm,,SEL,60.0,11.0,19.0,30.0,2.0,-1.0
Elias Lindholm,,Swe-Jr,38.0,14.0,35.0,49.0,45.0,20.0
Elias Lindholm,2013-14,NHL,58.0,9.0,12.0,21.0,4.0,-14.0
Elias Lindholm,2014-15,NHL,81.0,17.0,22.0,39.0,14.0,-23.0
Elias Lindholm,2015-16,NHL,82.0,11.0,28.0,39.0,24.0,-23.0
Emil Bemstrom,,AHL,4.0,2.0,0.0,2.0,2.0,-3.0
Emil Bemstrom,,SM-liiga,16.0,8.0,9.0,17.0,2.0,2.0
Emil Bemstrom,,Swe-1,33.0,8.0,7.0,15.0,33.0,8.0
Emil Bemstrom,,Swe-Jr,51.0,33.0,25.0,58.0,49.0,4.0
Emil Bemstrom,,SweHL,52.0,23.0,12.0,35.0,8.0,9.0
Emil Bemstrom,2019-20,NHL,56.0,10.0,10.0,20.0,8.0,-10.0
Emil Bemstrom,2020-21,NHL,20.0,3.0,2.0,5.0,0.0,2.0
Emil Bemstrom,2021-22,NHL,41.0,6.0,5.0,11.0,4.0,-1.0
Erik Brannstrom,,AHL,81.0,10.0,50.0,60.0,76.0,10.0
Erik Brannstrom,,Swe-Jr,61.0,17.0,36.0,53.0,46.0,10.0
Erik Brannstrom,,SweHL,82.0,3.0,18.0,21.0,24.0,6.0
Erik Brannstrom,,Swiss-A,10.0,2.0,6.0,8.0,6.0,5.0
Erik Brannstrom,2018-19,NHL,2.0,0.0,0.0,0.0,0.0,0.0
Erik Brannstrom,2019-20,NHL,31.0,0.0,4.0,4.0,16.0,-9.0
Erik Brannstrom,2020-21,NHL,30.0,2.0,11.0,13.0,25.0,3.0
Erik Cernak,,AHL,80.0,7.0,18.0,25.0,84.0,29.0
Erik Cernak,,OHL,91.0,7.0,29.0,36.0,88.0,38.0
Erik Cernak,,Slovak,76.0,7.0,9.0,16.0,18.0,0.0
Erik Cernak,2018-19,NHL,58.0,5.0,11.0,16.0,58.0,25.0
Erik Cernak,2019-20,NHL,67.0,5.0,7.0,12.0,59.0,11.0
Erik Cernak,2020-21,NHL,46.0,5.0,13.0,18.0,38.0,8.0
Erik Gudbranson,,AHL,2.0,0.0,0.0,0.0,2.0,2.0
Erik Gudbranson,,OHL,148.0,17.0,62.0,79.0,242.0,-6.0
Erik Gudbranson,2011-12,NHL,72.0,2.0,6.0,8.0,78.0,-19.0
Erik Gudbranson,2012-13,NHL,32.0,0.0,4.0,4.0,47.0,-22.0
Erik Gudbranson,2013-14,NHL,65.0,3.0,6.0,9.0,114.0,-7.0
Erik Haula,,AHL,37.0,14.0,15.0,29.0,16.0,3.0
Erik Haula,,USHL,56.0,28.0,44.0,72.0,59.0,36.0
Erik Haula,,WCHA,114.0,42.0,82.0,124.0,66.0,0.0
Erik Haula,2013-14,NHL,46.0,6.0,9.0,15.0,29.0,14.0
Erik Haula,2014-15,NHL,72.0,7.0,7.0,14.0,32.0,-7.0
Erik Haula,2015-16,NHL,76.0,14.0,20.0,34.0,24.0,21.0
Esa Lindell,,AHL,80.0,14.0,30.0,44.0,58.0,9.0
Esa Lindell,,Mestis,35.0,6.0,9.0,15.0,24.0,-7.0
Esa Lindell,,SM-liiga,120.0,16.0,24.0,40.0,42.0,-1.0
Esa Lindell,2015-16,NHL,4.0,0.0,0.0,0.0,0.0,-3.0
Esa Lindell,2016-17,NHL,73.0,6.0,12.0,18.0,22.0,8.0
Esa Lindell,2017-18,NHL,80.0,7.0,20.0,27.0,24.0,19.0
Evan Rodrigues,,AHL,128.0,23.0,47.0,70.0,68.0,-18.0
Evan Rodrigues,,H-East,146.0,42.0,79.0,121.0,103.0,30.0
Evan Rodrigues,,OJHL,93.0,41.0,64.0,105.0,64.0,0.0
Evan Rodrigues,2015-16,NHL,2.0,1.0,1.0,2.0,0.0,2.0
Evan Rodrigues,2016-17,NHL,30.0,4.0,2.0,6.0,4.0,-7.0
Evan Rodrigues,2017-18,NHL,48.0,7.0,18.0,25.0,14.0,-10.0
Evgeni Malkin,,Russia,132.0,36.0,55.0,91.0,82.0,0.0
Evgeni Malkin,2006-07,NHL,78.0,33.0,52.0,85.0,80.0,2.0
Evgeni Malkin,2007-08,NHL,82.0,47.0,59.0,106.0,78.0,16.0
Evgeni Malkin,2008-09,NHL,82.0,35.0,78.0,113.0,80.0,17.0
Fabian Zetterlund,,AHL,138.0,39.0,51.0,90.0,24.0,-3.0
Fabian Zetterlund,,Swe-1,29.0,6.0,9.0,15.0,14.0,-4.0
Fabian Zetterlund,,Swe-Jr,63.0,21.0,30.0,51.0,38.0,14.0
Fabian Zetterlund,,SweHL,66.0,5.0,6.0,11.0,16.0,-6.0
Fabian Zetterlund,2021-22,NHL,14.0,3.0,5.0,8.0,0.0,5.0
Fabian Zetterlund,2022-23,NHL,45.0,6.0,14.0,20.0,6.0,4.0
Fabian Zetterlund,2022-23,NHL,22.0,0.0,3.0,3.0,8.0,-10.0
Fabian Zetterlund,2023-24,NHL,82.0,24.0,20.0,44.0,33.0,-34.0
Filip Chytil,,AHL,55.0,14.0,26.0,40.0,8.0,10.0
Filip Chytil,,Czech,38.0,4.0,4.0,8.0,16.0,-5.0
Filip Chytil,2017-18,NHL,9.0,1.0,2.0,3.0,4.0,-5.0
Filip Chytil,2018-19,NHL,75.0,11.0,12.0,23.0,8.0,-22.0
Filip Chytil,2019-20,NHL,60.0,14.0,9.0,23.0,10.0,-7.0
Filip Hronek,,AHL,108.0,19.0,46.0,65.0,93.0,25.0
Filip Hronek,,Czech,63.0,10.0,17.0,27.0,42.0,18.0
Filip Hronek,,OHL,59.0,14.0,47.0,61.0,60.0,15.0
Filip Hronek,2018-19,NHL,46.0,5.0,18.0,23.0,30.0,-10.0
Filip Hronek,2019-20,NHL,65.0,9.0,22.0,31.0,46.0,-38.0
Filip Hronek,2020-21,NHL,56.0,2.0,24.0,26.0,16.0,-18.0
Frank Vatrano,,AHL,43.0,39.0,19.0,58.0,26.0,22.0
Frank Vatrano,,EJHL,27.0,13.0,11.0,24.0,22.0,0.0
Frank Vatrano,,H-East,37.0,18.0,10.0,28.0,28.0,-15.0
Frank Vatrano,,USHL,59.0,18.0,16.0,34.0,32.0,20.0
Frank Vatrano,2015-16,NHL,39.0,8.0,3.0,11.0,14.0,-3.0
Frank Vatrano,2016-17,NHL,44.0,10.0,8.0,18.0,14.0,-3.0
Frank Vatrano,2017-18,NHL,25.0,2.0,0.0,2.0,22.0,-3.0
Frank Vatrano,2017-18,NHL,16.0,5.0,3.0,8.0,12.0,6.0
Frederick Gaudreau,,AHL,238.0,66.0,78.0,144.0,59.0,4.0
Frederick Gaudreau,,ECHL,14.0,5.0,2.0,7.0,4.0,-1.0
Frederick Gaudreau,,QMJHL,195.0,50.0,84.0,134.0,26.0,-31.0
Frederick Gaudreau,2016-17,NHL,9.0,0.0,1.0,1.0,0.0,1.0
Frederick Gaudreau,2017-18,NHL,20.0,0.0,3.0,3.0,2.0,0.0
Frederick Gaudreau,2018-19,NHL,55.0,3.0,1.0,4.0,2.0,1.0
Gabriel Vilardi,,AHL,75.0,24.0,40.0,64.0,32.0,8.0
Gabriel Vilardi,,OHL,143.0,68.0,89.0,157.0,40.0,27.0
Gabriel Vilardi,2019-20,NHL,10.0,3.0,4.0,7.0,4.0,0.0
Gabriel Vilardi,2020-21,NHL,54.0,10.0,13.0,23.0,6.0,-8.0
Gabriel Vilardi,2021-22,NHL,25.0,5.0,2.0,7.0,8.0,-5.0
Garnet Hathaway,,AHL,173.0,46.0,50.0,96.0,223.0,27.0
Garnet Hathaway,,ECAC,121.0,20.0,38.0,58.0,178.0,0.0
Garnet Hathaway,2015-16,NHL,14.0,0.0,3.0,3.0,31.0,-1.0
Garnet Hathaway,2016-17,NHL,26.0,1.0,4.0,5.0,44.0,0.0
Garnet Hathaway,2017-18,NHL,59.0,4.0,9.0,13.0,88.0,3.0
Givani Smith,,AHL,129.0,24.0,23.0,47.0,217.0,-11.0
Givani Smith,,OHL,236.0,73.0,62.0,135.0,411.0,-28.0
Givani Smith,2019-20,NHL,21.0,2.0,1.0,3.0,9.0,-2.0
Givani Smith,2020-21,NHL,16.0,1.0,3.0,4.0,21.0,-5.0
Givani Smith,2021-22,NHL,46.0,4.0,3.0,7.0,108.0,-6.0
Grigori Denisenko,,AHL,101.0,26.0,37.0,63.0,49.0,-23.0
Grigori Denisenko,,KHL,63.0,10.0,8.0,18.0,66.0,2.0
Grigori Denisenko,,Rus-MHL,63.0,19.0,28.0,47.0,50.0,27.0
Grigori Denisenko,,Rus-VHL,6.0,1.0,2.0,3.0,4.0,2.0
Grigori Denisenko,2020-21,NHL,7.0,0.0,4.0,4.0,2.0,1.0
Grigori Denisenko,2021-22,NHL,1.0,0.0,0.0,0.0,2.0,0.0
Grigori Denisenko,2022-23,NHL,18.0,0.0,3.0,3.0,4.0,-5.0
Gustav Forsling,,AHL,53.0,3.0,12.0,15.0,20.0,-16.0
Gustav Forsling,,Swe-Jr,58.0,6.0,13.0,19.0,44.0,0.0
Gustav Forsling,,SweHL,86.0,9.0,18.0,27.0,12.0,23.0
Gustav Forsling,2016-17,NHL,38.0,2.0,3.0,5.0,4.0,3.0
Gustav Forsling,2017-18,NHL,41.0,3.0,10.0,13.0,8.0,-2.0
Gustav Forsling,2018-19,NHL,43.0,3.0,6.0,9.0,30.0,-9.0
Gustav Nyquist,,AHL,137.0,53.0,90.0,143.0,60.0,24.0
Gustav Nyquist,,H-East,113.0,50.0,94.0,144.0,68.0,0.0
Gustav Nyquist,,Swe-Jr,66.0,32.0,43.0,75.0,77.0,1.0
Gustav Nyquist,2011-12,NHL,18.0,1.0,6.0,7.0,2.0,2.0
Gustav Nyquist,2012-13,NHL,22.0,3.0,3.0,6.0,6.0,0.0
Gustav Nyquist,2013-14,NHL,57.0,28.0,20.0,48.0,10.0,16.0
Hampus Lindholm,,AHL,44.0,1.0,10.0,11.0,16.0,5.0
Hampus Lindholm,,Swe-1,20.0,1.0,3.0,4.0,12.0,-1.0
Hampus Lindholm,,Swe-Jr,67.0,5.0,16.0,21.0,50.0,29.0
Hampus Lindholm,2013-14,NHL,78.0,6.0,24.0,30.0,36.0,29.0
Hampus Lindholm,2014-15,NHL,78.0,7.0,27.0,34.0,32.0,25.0
Hampus Lindholm,2015-16,NHL,80.0,10.0,18.0,28.0,40.0,7.0
Haydn Fleury,,AHL,101.0,11.0,28.0,39.0,40.0,18.0
Haydn Fleury,,WHL,259.0,30.0,104.0,134.0,180.0,42.0
Haydn Fleury,2017-18,NHL,67.0,0.0,8.0,8.0,14.0,-2.0
Haydn Fleury,2018-19,NHL,20.0,0.0,1.0,1.0,2.0,4.0
Haydn Fleury,2019-20,NHL,45.0,4.0,10.0,14.0,8.0,-2.0
Hendrix Lapierre,,AHL,81.0,20.0,27.0,47.0,49.0,8.0
Hendrix Lapierre,,QMJHL,128.0,44.0,100.0,144.0,62.0,32.0
Hendrix Lapierre,2021-22,NHL,6.0,1.0,0.0,1.0,2.0,2.0
Hendrix Lapierre,2023-24,NHL,51.0,8.0,14.0,22.0,4.0,-1.0
Henri Jokiharju,,AHL,30.0,2.0,15.0,17.0,14.0,7.0
Henri Jokiharju,,WHL,134.0,21.0,98.0,119.0,52.0,61.0
Henri Jokiharju,2018-19,NHL,38.0,0.0,12.0,12.0,16.0,-7.0
Henri Jokiharju,2019-20,NHL,69.0,4.0,11.0,15.0,32.0,-6.0
Henri Jokiharju,2020-21,NHL,46.0,3.0,5.0,8.0,4.0,-11.0
Henry Thrun,,AHL,18.0,1.0,5.0,6.0,10.0,-9.0
Henry Thrun,,ECAC,99.0,17.0,67.0,84.0,36.0,46.0
Henry Thrun,,Exhibition,62.0,8.0,25.0,33.0,10.0,25.0
Henry Thrun,,USHL,86.0,15.0,50.0,65.0,28.0,47.0
Henry Thrun,2022-23,NHL,8.0,0.0,2.0,2.0,0.0,-3.0
Henry Thrun,2023-24,NHL,51.0,3.0,8.0,11.0,16.0,-22.0
Henry Thrun,2024-25,NHL,48.0,1.0,9.0,10.0,24.0,-15.0
Hudson Fasching,,AHL,106.0,20.0,22.0,42.0,48.0,-6.0
Hudson Fasching,,Big-10,115.0,46.0,48.0,94.0,62.0,30.0
Hudson Fasching,,USHL,62.0,11.0,21.0,32.0,46.0,-15.0
Hudson Fasching,2015-16,NHL,7.0,1.0,1.0,2.0,4.0,2.0
Hudson Fasching,2016-17,NHL,10.0,0.0,1.0,1.0,2.0,-1.0
Hudson Fasching,2017-18,NHL,5.0,0.0,0.0,0.0,2.0,-1.0
Ilya Lyubushkin,,AHL,2.0,0.0,0.0,0.0,2.0,0.0
Ilya Lyubushkin,,KHL,262.0,12.0,24.0,36.0,260.0,33.0
Ilya Lyubushkin,,Rus-MHL,62.0,4.0,3.0,7.0,76.0,16.0
Ilya Lyubushkin,,Rus-VHL,42.0,1.0,4.0,5.0,26.0,6.0
Ilya Lyubushkin,2018-19,NHL,41.0,0.0,4.0,4.0,13.0,-9.0
Ilya Lyubushkin,2019-20,NHL,51.0,0.0,4.0,4.0,18.0,4.0
Ilya Lyubushkin,2020-21,NHL,42.0,1.0,1.0,2.0,10.0,-13.0
Ilya Mikheyev,,KHL,224.0,62.0,58.0,120.0,40.0,59.0
Ilya Mikheyev,,Rus-MHL,108.0,47.0,55.0,102.0,99.0,65.0
Ilya Mikheyev,,Rus-VHL,52.0,7.0,11.0,18.0,8.0,2.0
Ilya Mikheyev,2019-20,NHL,39.0,8.0,15.0,23.0,4.0,7.0
Ilya Mikheyev,2020-21,NHL,54.0,7.0,10.0,17.0,6.0,5.0
Ilya Mikheyev,2021-22,NHL,53.0,21.0,11.0,32.0,26.0,16.0
Isaak Phillips,,AHL,171.0,22.0,49.0,71.0,160.0,14.0
Isaak Phillips,,OHL,131.0,12.0,28.0,40.0,81.0,10.0
Isaak Phillips,,OJHL,52.0,3.0,8.0,11.0,40.0,0.0
Isaak Phillips,2021-22,NHL,4.0,0.0,0.0,0.0,4.0,-1.0
Isaak Phillips,2022-23,NHL,16.0,1.0,4.0,5.0,5.0,-10.0
Isaak Phillips,2023-24,NHL,33.0,0.0,6.0,6.0,22.0,-26.0
Isac Lundestrom,,AHL,55.0,6.0,21.0,27.0,6.0,-12.0
Isac Lundestrom,,Swe-1,12.0,5.0,6.0,11.0,6.0,7.0
Isac Lundestrom,,Swe-Jr,47.0,8.0,17.0,25.0,16.0,-1.0
Isac Lundestrom,,SweHL,108.0,11.0,19.0,30.0,16.0,6.0
Isac Lundestrom,2018-19,NHL,15.0,0.0,2.0,2.0,2.0,-1.0
Isac Lundestrom,2019-20,NHL,15.0,0.0,4.0,4.0,0.0,-2.0
Isac Lundestrom,2020-21,NHL,41.0,6.0,3.0,9.0,14.0,-9.0
Ivan Barbashev,,AHL,131.0,34.0,41.0,75.0,35.0,-15.0
Ivan Barbashev,,QMJHL,173.0,88.0,137.0,225.0,122.0,14.0
Ivan Barbashev,,Rus-MHL,38.0,8.0,2.0,10.0,18.0,-5.0
Ivan Barbashev,2016-17,NHL,30.0,5.0,7.0,12.0,2.0,5.0
Ivan Barbashev,2017-18,NHL,53.0,7.0,6.0,13.0,4.0,-1.0
Ivan Barbashev,2018-19,NHL,80.0,14.0,12.0,26.0,17.0,-4.0
Ivan Provorov,,USHL,56.0,6.0,13.0,19.0,32.0,-6.0
Ivan Provorov,,WHL,122.0,36.0,98.0,134.0,58.0,100.0
Ivan Provorov,2016-17,NHL,82.0,6.0,24.0,30.0,34.0,-7.0
Ivan Provorov,2017-18,NHL,82.0,17.0,24.0,41.0,20.0,17.0
Ivan Provorov,2018-19,NHL,82.0,7.0,19.0,26.0,32.0,-16.0
J.J. Moser,,AHL,18.0,5.0,7.0,12.0,11.0,-3.0
J.J. Moser,,Swiss-A,133.0,11.0,36.0,47.0,40.0,31.0
J.J. Moser,2021-22,NHL,43.0,4.0,11.0,15.0,16.0,-10.0
J.J. Moser,2022-23,NHL,82.0,7.0,24.0,31.0,35.0,-12.0
J.J. Moser,2023-24,NHL,80.0,5.0,21.0,26.0,35.0,-5.0
J.T. Compher,,AHL,41.0,13.0,17.0,30.0,22.0,2.0
J.T. Compher,,Big-10,107.0,39.0,79.0,118.0,90.0,32.0
J.T. Compher,,USHL,53.0,20.0,31.0,51.0,60.0,23.0
J.T. Compher,2016-17,NHL,21.0,3.0,2.0,5.0,4.0,0.0
J.T. Compher,2017-18,NHL,69.0,13.0,10.0,23.0,20.0,-29.0
J.T. Compher,2018-19,NHL,66.0,16.0,16.0,32.0,31.0,-8.0
JJ Peterka,,AHL,70.0,28.0,40.0,68.0,28.0,-3.0
JJ Peterka,,Austria,12.0,7.0,9.0,16.0,12.0,4.0
JJ Peterka,,DEL,72.0,16.0,15.0,31.0,22.0,4.0
JJ Peterka,2021-22,NHL,2.0,0.0,0.0,0.0,0.0,0.0
JJ Peterka,2022-23,NHL,77.0,12.0,20.0,32.0,26.0,-15.0
JJ Peterka,2023-24,NHL,82.0,28.0,22.0,50.0,28.0,10.0
Jaccob Slavin,,AHL,14.0,0.0,7.0,7.0,0.0,6.0
Jaccob Slavin,,NCHC,66.0,10.0,32.0,42.0,13.0,-28.0
Jaccob Slavin,,USHL,139.0,9.0,55.0,64.0,28.0,-27.0
Jaccob Slavin,2015-16,NHL,63.0,2.0,18.0,20.0,8.0,1.0
Jaccob Slavin,2016-17,NHL,82.0,5.0,29.0,34.0,12.0,23.0
Jaccob Slavin,2017-18,NHL,82.0,8.0,22.0,30.0,10.0,1.0
Jack Eichel,,EJHL,3.0,0.0,0.0,0.0,0.0,0.0
Jack Eichel,,H-East,40.0,26.0,45.0,71.0,28.0,51.0
Jack Eichel,,USHL,59.0,33.0,39.0,72.0,34.0,8.0
Jack Eichel,2015-16,NHL,81.0,24.0,32.0,56.0,22.0,-16.0
Jack Eichel,2016-17,NHL,61.0,24.0,33.0,57.0,22.0,-13.0
Jack Eichel,2017-18,NHL,67.0,25.0,39.0,64.0,32.0,-25.0
Jack McBain,,H-East,117.0,37.0,49.0,86.0,104.0,29.0
Jack McBain,,OJHL,90.0,33.0,66.0,99.0,110.0,0.0
Jack McBain,2021-22,NHL,10.0,2.0,1.0,3.0,6.0,-6.0
Jack McBain,2022-23,NHL,82.0,12.0,14.0,26.0,64.0,-8.0
Jack McBain,2023-24,NHL,67.0,8.0,18.0,26.0,50.0,8.0
Jack Roslovic,,AHL,97.0,28.0,55.0,83.0,30.0,-1.0
Jack Roslovic,,NCHC,36.0,10.0,16.0,26.0,18.0,-5.0
Jack Roslovic,,USHL,59.0,15.0,37.0,52.0,22.0,-2.0
Jack Roslovic,2016-17,NHL,1.0,0.0,0.0,0.0,0.0,-1.0
Jack Roslovic,2017-18,NHL,31.0,5.0,9.0,14.0,2.0,5.0
Jack Roslovic,2018-19,NHL,77.0,9.0,15.0,24.0,4.0,-2.0
Jackson LaCombe,,Big-10,140.0,19.0,80.0,99.0,47.0,53.0
Jackson LaCombe,,USHL,3.0,0.0,0.0,0.0,0.0,0.0
Jackson LaCombe,2022-23,NHL,2.0,0.0,0.0,0.0,0.0,-1.0
Jackson LaCombe,2023-24,NHL,71.0,2.0,15.0,17.0,24.0,-24.0
Jackson LaCombe,2024-25,NHL,47.0,9.0,15.0,24.0,16.0,2.0
Jacob Bernard-Docker,,AHL,99.0,4.0,11.0,15.0,57.0,15.0
Jacob Bernard-Docker,,AJHL,103.0,27.0,36.0,63.0,46.0,0.0
Jacob Bernard-Docker,,NCHC,95.0,15.0,45.0,60.0,38.0,35.0
Jacob Bernard-Docker,2020-21,NHL,5.0,0.0,0.0,0.0,0.0,2.0
Jacob Bernard-Docker,2021-22,NHL,8.0,0.0,1.0,1.0,4.0,1.0
Jacob Bernard-Docker,2022-23,NHL,19.0,0.0,1.0,1.0,11.0,-2.0
Jacob Bryson,,AHL,66.0,4.0,26.0,30.0,36.0,5.0
Jacob Bryson,,H-East,121.0,11.0,62.0,73.0,38.0,33.0
Jacob Bryson,,USHL,56.0,3.0,28.0,31.0,36.0,-8.0
Jacob Bryson,2020-21,NHL,38.0,1.0,8.0,9.0,12.0,-1.0
Jacob Bryson,2021-22,NHL,73.0,1.0,9.0,10.0,12.0,-9.0
Jacob Bryson,2022-23,NHL,59.0,1.0,8.0,9.0,8.0,-24.0
Jacob Moverare,,AHL,152.0,10.0,59.0,69.0,57.0,17.0
Jacob Moverare,,OHL,95.0,5.0,48.0,53.0,28.0,12.0
Jacob Moverare,,SM-liiga,50.0,0.0,5.0,5.0,82.0,-14.0
Jacob Moverare,,Swe-Jr,83.0,6.0,25.0,31.0,28.0,4.0
Jacob Moverare,,SweHL,97.0,11.0,15.0,26.0,24.0,15.0
Jacob Moverare,2021-22,NHL,19.0,0.0,2.0,2.0,2.0,3.0
Jacob Moverare,2022-23,NHL,2.0,0.0,0.0,0.0,0.0,-1.0
Jacob Moverare,2023-24,NHL,24.0,1.0,0.0,1.0,6.0,0.0
Jacob Trouba,,CCHA,37.0,12.0,17.0,29.0,88.0,0.0
Jacob Trouba,,USHL,53.0,7.0,18.0,25.0,66.0,6.0
Jacob Trouba,2013-14,NHL,65.0,10.0,19.0,29.0,43.0,4.0
Jacob Trouba,2014-15,NHL,65.0,7.0,15.0,22.0,46.0,2.0
Jacob Trouba,2015-16,NHL,81.0,6.0,15.0,21.0,62.0,10.0
Jaden Schwartz,,AHL,33.0,9.0,10.0,19.0,14.0,-14.0
Jaden Schwartz,,SJHL,46.0,34.0,42.0,76.0,15.0,0.0
Jaden Schwartz,,USHL,60.0,33.0,50.0,83.0,18.0,-6.0
Jaden Schwartz,,WCHA,60.0,32.0,56.0,88.0,40.0,0.0
Jaden Schwartz,2011-12,NHL,7.0,2.0,1.0,3.0,0.0,1.0
Jaden Schwartz,2012-13,NHL,45.0,7.0,6.0,13.0,4.0,-4.0
Jaden Schwartz,2013-14,NHL,80.0,25.0,31.0,56.0,27.0,28.0
Jake Bean,,AHL,129.0,23.0,69.0,92.0,60.0,11.0
Jake Bean,,WHL,219.0,49.0,147.0,196.0,66.0,19.0
Jake Bean,2018-19,NHL,2.0,0.0,0.0,0.0,2.0,0.0
Jake Bean,2020-21,NHL,42.0,1.0,11.0,12.0,10.0,-2.0
Jake Christiansen,,AHL,211.0,40.0,100.0,140.0,134.0,-6.0
Jake Christiansen,,WHL,297.0,50.0,102.0,152.0,114.0,84.0
Jake Christiansen,2021-22,NHL,8.0,1.0,0.0,1.0,0.0,1.0
Jake Christiansen,2022-23,NHL,24.0,0.0,4.0,4.0,4.0,-7.0
Jake Christiansen,2023-24,NHL,12.0,0.0,2.0,2.0,2.0,-5.0
Jake DeBrusk,,AHL,74.0,19.0,30.0,49.0,30.0,11.0
Jake DeBrusk,,WHL,205.0,78.0,107.0,185.0,108.0,9.0
Jake DeBrusk,2017-18,NHL,70.0,16.0,27.0,43.0,19.0,13.0
Jake DeBrusk,2018-19,NHL,68.0,27.0,15.0,42.0,18.0,2.0
Jake DeBrusk,2019-20,NHL,65.0,19.0,16.0,35.0,14.0,-1.0
Jake Guentzel,,AHL,44.0,23.0,25.0,48.0,12.0,20.0
Jake Guentzel,,NCHC,108.0,40.0,79.0,119.0,70.0,16.0
Jake Guentzel,,USHL,60.0,29.0,44.0,73.0,24.0,13.0
Jake Guentzel,2016-17,NHL,40.0,16.0,17.0,33.0,10.0,7.0
Jake Guentzel,2017-18,NHL,82.0,22.0,26.0,48.0,42.0,-9.0
Jake Guentzel,2018-19,NHL,82.0,40.0,36.0,76.0,26.0,13.0
Jake Neighbours,,AHL,23.0,9.0,7.0,16.0,2.0,1.0
Jake Neighbours,,WHL,171.0,60.0,116.0,176.0,125.0,71.0
Jake Neighbours,2021-22,NHL,9.0,1.0,1.0,2.0,2.0,-2.0
Jake Neighbours,2022-23,NHL,43.0,6.0,4.0,10.0,24.0,-19.0
Jake Neighbours,2023-24,NHL,77.0,27.0,11.0,38.0,21.0,-16.0
Jake Sanderson,,Exhibition,22.0,2.0,15.0,17.0,18.0,2.0
Jake Sanderson,,NCHC,45.0,10.0,31.0,41.0,10.0,25.0
Jake Sanderson,,USHL,41.0,4.0,17.0,21.0,8.0,-16.0
Jake Sanderson,2022-23,NHL,77.0,4.0,28.0,32.0,12.0,-6.0
Jake Sanderson,2023-24,NHL,79.0,10.0,28.0,38.0,23.0,8.0
Jake Sanderson,2024-25,NHL,55.0,5.0,30.0,35.0,8.0,-15.0
Jake Walman,,AHL,189.0,17.0,46.0,63.0,106.0,-32.0
Jake Walman,,H-East,107.0,21.0,48.0,69.0,106.0,28.0
Jake Walman,,OJHL,43.0,7.0,26.0,33.0,87.0,0.0
Jake Walman,2019-20,NHL,1.0,0.0,0.0,0.0,0.0,1.0
Jake Walman,2020-21,NHL,24.0,1.0,1.0,2.0,8.0,-7.0
Jake Walman,2021-22,NHL,32.0,3.0,3.0,6.0,6.0,3.0
Jake Walman,2021-22,NHL,19.0,0.0,4.0,4.0,4.0,-6.0
Jakob Chychrun,,OHL,104.0,27.0,55.0,82.0,88.0,12.0
Jakob Chychrun,2016-17,NHL,68.0,7.0,13.0,20.0,47.0,-14.0
Jakob Chychrun,2017-18,NHL,50.0,4.0,10.0,14.0,16.0,2.0
Jakob Chychrun,2018-19,NHL,53.0,5.0,15.0,20.0,28.0,-12.0
Jakub Lauko,,AHL,134.0,23.0,38.0,61.0,166.0,-4.0
Jakub Lauko,,Czech,95.0,10.0,11.0,21.0,48.0,-11.0
Jakub Lauko,,QMJHL,44.0,21.0,20.0,41.0,43.0,34.0
Jakub Lauko,2022-23,NHL,23.0,4.0,3.0,7.0,11.0,2.0
Jakub Lauko,2023-24,NHL,60.0,2.0,8.0,10.0,32.0,-3.0
Jakub Lauko,2024-25,NHL,33.0,2.0,3.0,5.0,27.0,-4.0
Jalen Chatfield,,AHL,186.0,8.0,27.0,35.0,90.0,11.0
Jalen Chatfield,,OHL,189.0,19.0,67.0,86.0,136.0,17.0
Jalen Chatfield,2020-21,NHL,18.0,0.0,1.0,1.0,12.0,-11.0
Jalen Chatfield,2021-22,NHL,16.0,0.0,3.0,3.0,8.0,1.0
Jalen Chatfield,2022-23,NHL,78.0,6.0,8.0,14.0,35.0,23.0
James van Riemsdyk,,AHL,7.0,1.0,1.0,2.0,2.0,2.0
James van Riemsdyk,,H-East,67.0,28.0,46.0,74.0,83.0,0.0
James van Riemsdyk,,NAHL,49.0,31.0,23.0,54.0,63.0,0.0
James van Riemsdyk,2009-10,NHL,78.0,15.0,20.0,35.0,30.0,-1.0
James van Riemsdyk,2010-11,NHL,75.0,21.0,19.0,40.0,35.0,15.0
James van Riemsdyk,2011-12,NHL,43.0,11.0,13.0,24.0,24.0,-1.0
Jamie Drysdale,,AHL,14.0,4.0,6.0,10.0,6.0,1.0
Jamie Drysdale,,OHL,112.0,16.0,71.0,87.0,44.0,-15.0
